Timestamp,Date,Time,Type, Pressure,FrontAngle,SideAngle,UpAngle
1459358336.895399,30.03.16,10:18:56.895,Fore,52,114,142,237
1459358336.836657,30.03.16,10:18:56.837,Fore,100,0,123,135
1459358336.795160,30.03.16,10:18:56.795,Fore,75,0,123,135
1459358336.204448,30.03.16,10:18:56.204,Fore,100,99,123,202
1459358336.123493,30.03.16,10:18:56.123,Fore,100,0,256,172
1459358335.519745,30.03.16,10:18:55.520,Fore,100,79,235,219
1459358335.489879,30.03.16,10:18:55.490,Fore,100,79,235,219
1459358335.426485,30.03.16,10:18:55.426,Fore,45,0,1,0
1459358334.916536,30.03.16,10:18:54.917,Fore,94,104,112,227
1459358334.830468,30.03.16,10:18:54.830,Fore,100,255,132,110
1459358334.772642,30.03.16,10:18:54.773,Fore,77,255,132,110
1459358334.256803,30.03.16,10:18:54.257,Fore,35,60,65,166
1459358334.171280,30.03.16,10:18:54.171,Fore,100,60,65,166
1459358334.140800,30.03.16,10:18:54.141,Fore,100,2,1,0
1459358333.537153,30.03.16,10:18:53.537,Fore,100,141,256,199
1459358333.479007,30.03.16,10:18:53.479,Fore,100,141,256,199
1459358332.938939,30.03.16,10:18:52.939,Fore,100,89,100,197
1459358332.935986,30.03.16,10:18:52.936,Fore,100,89,100,197
1459358332.924460,30.03.16,10:18:52.924,Fore,32,59,251,242
1459358332.334904,30.03.16,10:18:52.335,Fore,97,114,96,220
1459358332.201968,30.03.16,10:18:52.202,Fore,98,255,1,149
1459358331.589442,30.03.16,10:18:51.589,Fore,100,82,165,173
1459358331.540605,30.03.16,10:18:51.541,Fore,100,82,165,173
1459358331.509964,30.03.16,10:18:51.510,Fore,7,0,7,0
1459358330.927150,30.03.16,10:18:50.927,Fore,100,109,107,231
1459358330.871900,30.03.16,10:18:50.872,Fore,100,255,1,222
1459358330.836633,30.03.16,10:18:50.837,Fore,50,255,1,222
1459358330.295672,30.03.16,10:18:50.296,Fore,64,59,17,157
1459358330.265684,30.03.16,10:18:50.266,Fore,100,59,17,157
1459358330.206907,30.03.16,10:18:50.207,Fore,50,0,49,0
1459358329.637026,30.03.16,10:18:49.637,Fore,44,121,143,240
1459358329.578416,30.03.16,10:18:49.578,Fore,100,255,256,47
1459358329.523025,30.03.16,10:18:49.523,Fore,94,255,256,47
1459358328.940770,30.03.16,10:18:48.941,Fore,100,108,96,0
1459358328.887659,30.03.16,10:18:48.888,Fore,87,0,76,0
1459358328.287471,30.03.16,10:18:48.287,Fore,100,78,256,242
1459358328.226985,30.03.16,10:18:48.227,Fore,100,78,256,242
1459358327.627773,30.03.16,10:18:47.628,Fore,100,94,121,184
1459358327.596961,30.03.16,10:18:47.597,Fore,89,0,9,0
1459358327.028106,30.03.16,10:18:47.028,Fore,42,99,124,212
1459358326.969623,30.03.16,10:18:46.970,Fore,100,99,124,212
1459358326.939012,30.03.16,10:18:46.939,Fore,91,99,222,212
1459358326.337149,30.03.16,10:18:46.337,Fore,100,106,165,196
