Timestamp,Date,Time,Type, Pressure,FrontAngle,SideAngle,UpAngle
1459359566.858134,30.03.16,10:39:26.858,Fore,72,105,130,196
1459359566.802172,30.03.16,10:39:26.802,Fore,41,105,130,196
1459359566.526190, 30.03.16,10:39:26.526,Heel, 44,93,130,197
1459359566.469137, 30.03.16,10:39:26.469,Heel, 64,24,171,214
1459359566.408496, 30.03.16,10:39:26.408,Heel, 70,24,171,214
1459359565.841371,30.03.16,10:39:25.841,Fore,100,111,137,203
1459359565.784474,30.03.16,10:39:25.784,Fore,100,111,137,203
1459359565.752796,30.03.16,10:39:25.753,Fore,100,102,137,186
1459359565.476807, 30.03.16,10:39:25.477,Heel, 57,48,180,232
1459359565.398867, 30.03.16,10:39:25.399,Heel, 94,48,180,232
1459359565.366178, 30.03.16,10:39:25.366,Heel, 87,0,101,0
1459359565.332709, 30.03.16,10:39:25.333,Heel, 81,0,101,0
1459359564.790735,30.03.16,10:39:24.791,Fore,100,104,118,193
1459359564.758860,30.03.16,10:39:24.759,Fore,100,104,118,193
1459359564.701309,30.03.16,10:39:24.701,Fore,100,104,128,193
1459359564.640968,30.03.16,10:39:24.641,Fore,46,104,128,193
1459359564.409635, 30.03.16,10:39:24.410,Heel, 56,67,256,217
1459359564.353774, 30.03.16,10:39:24.354,Heel, 100,67,256,217
1459359564.322106, 30.03.16,10:39:24.322,Heel, 100,0,156,30
1459359563.740558,30.03.16,10:39:23.741,Fore,100,107,130,205
1459359563.706116,30.03.16,10:39:23.706,Fore,100,107,130,194
1459359563.650704,30.03.16,10:39:23.651,Fore,100,107,130,194
1459359563.375344, 30.03.16,10:39:23.375,Heel, 55,107,131,194
1459359563.319487, 30.03.16,10:39:23.319,Heel, 100,255,1,255
1459359563.258800, 30.03.16,10:39:23.259,Heel, 71,255,1,255
1459359563.223455, 30.03.16,10:39:23.223,Heel, 39,0,175,225
1459359562.782776,30.03.16,10:39:22.783,Fore,18,107,115,206
1459359562.723648,30.03.16,10:39:22.724,Fore,100,107,115,206
1459359562.691073,30.03.16,10:39:22.691,Fore,100,97,128,185
1459359562.652163,30.03.16,10:39:22.652,Fore,12,97,128,185
1459359562.418352, 30.03.16,10:39:22.418,Heel, 93,0,1,255
1459359562.335957, 30.03.16,10:39:22.336,Heel, 100,0,1,255
1459359562.302013, 30.03.16,10:39:22.302,Heel, 100,0,98,86
1459359561.791281,30.03.16,10:39:21.791,Fore,100,105,121,195
1459359561.754924,30.03.16,10:39:21.755,Fore,100,105,121,195
1459359561.697640,30.03.16,10:39:21.698,Fore,100,94,121,183
1459359561.640945,30.03.16,10:39:21.641,Fore,53,94,121,183
1459359561.404735, 30.03.16,10:39:21.405,Heel, 100,216,256,255
1459359561.372087, 30.03.16,10:39:21.372,Heel, 100,216,256,255
1459359561.289573, 30.03.16,10:39:21.290,Heel, 97,0,178,248
1459359560.857018,30.03.16,10:39:20.857,Fore,100,101,112,197
1459359560.798844,30.03.16,10:39:20.799,Fore,100,101,128,197
1459359560.740714,30.03.16,10:39:20.741,Fore,100,101,128,197
1459359560.705879,30.03.16,10:39:20.706,Fore,84,101,128,190
1459359560.468437, 30.03.16,10:39:20.468,Heel, 85,11,202,253
1459359560.412858, 30.03.16,10:39:20.413,Heel, 100,0,256,128
1459359560.377150, 30.03.16,10:39:20.377,Heel, 100,0,256,128
1459359559.841784,30.03.16,10:39:19.842,Fore,100,98,122,200
1459359559.805041,30.03.16,10:39:19.805,Fore,100,98,128,190
1459359559.748700,30.03.16,10:39:19.749,Fore,100,98,128,190
1459359559.690668,30.03.16,10:39:19.691,Fore,28,98,128,190
1459359559.486402, 30.03.16,10:39:19.486,Heel, 8,53,102,42
1459359559.453232, 30.03.16,10:39:19.453,Heel, 100,53,102,42
1459359559.395152, 30.03.16,10:39:19.395,Heel, 100,0,89,42
1459359558.908255,30.03.16,10:39:18.908,Fore,100,107,147,224
1459359558.848862,30.03.16,10:39:18.849,Fore,100,107,115,197
1459359558.791598,30.03.16,10:39:18.792,Fore,100,107,115,197
1459359558.756437,30.03.16,10:39:18.756,Fore,67,101,122,188
1459359558.518100, 30.03.16,10:39:18.518,Heel, 100,0,148,204
1459359558.434035, 30.03.16,10:39:18.434,Heel, 100,0,55,15
1459359558.401178, 30.03.16,10:39:18.401,Heel, 100,0,55,15
1459359557.890912,30.03.16,10:39:17.891,Fore,100,105,105,200
1459359557.854416,30.03.16,10:39:17.854,Fore,100,105,128,190
1459359557.798907,30.03.16,10:39:17.799,Fore,100,105,128,190
1459359557.544566, 30.03.16,10:39:17.545,Heel, 44,41,1,201
1459359557.539396, 30.03.16,10:39:17.539,Heel, 100,41,1,201
1459359557.474609, 30.03.16,10:39:17.475,Heel, 100,0,154,14
1459359556.955480,30.03.16,10:39:16.955,Fore,100,106,134,204
1459359556.899311,30.03.16,10:39:16.899,Fore,100,106,134,204
1459359556.841889,30.03.16,10:39:16.842,Fore,100,99,126,186
1459359556.800974,30.03.16,10:39:16.801,Fore,47,99,126,186
1459359556.568359, 30.03.16,10:39:16.568,Heel, 100,255,126,226
1459359556.509636, 30.03.16,10:39:16.510,Heel, 100,255,126,226
1459359556.477613, 30.03.16,10:39:16.478,Heel, 100,0,191,226
1459359555.979274,30.03.16,10:39:15.979,Fore,100,106,121,209
1459359555.943200,30.03.16,10:39:15.943,Fore,100,106,137,198
1459359555.893022,30.03.16,10:39:15.893,Fore,100,106,137,198
1459359555.854899,30.03.16,10:39:15.855,Fore,69,97,137,186
1459359555.596283, 30.03.16,10:39:15.596,Heel, 100,13,53,203
1459359555.558299, 30.03.16,10:39:15.558,Heel, 100,0,166,0
1459359555.501178, 30.03.16,10:39:15.501,Heel, 100,0,166,0
1459359555.041959,30.03.16,10:39:15.042,Fore,100,104,121,205
1459359554.983738,30.03.16,10:39:14.984,Fore,100,104,121,205
1459359554.950480,30.03.16,10:39:14.950,Fore,100,104,121,188
1459359554.891579,30.03.16,10:39:14.892,Fore,64,104,121,188
1459359554.628960, 30.03.16,10:39:14.629,Heel, 100,230,256,255
1459359554.622829, 30.03.16,10:39:14.623,Heel, 100,230,256,255
1459359554.556920, 30.03.16,10:39:14.557,Heel, 100,0,187,255
1459359554.086457,30.03.16,10:39:14.086,Fore,100,102,110,200
1459359554.054369,30.03.16,10:39:14.054,Fore,100,102,122,190
1459359553.992156,30.03.16,10:39:13.992,Fore,100,102,122,190
1459359553.931163,30.03.16,10:39:13.931,Fore,100,96,139,183
1459359553.704489, 30.03.16,10:39:13.704,Heel, 2,0,11,222
1459359553.667983, 30.03.16,10:39:13.668,Heel, 100,0,11,222
1459359553.577520, 30.03.16,10:39:13.578,Heel, 100,0,156,24
1459359553.125791,30.03.16,10:39:13.126,Fore,56,119,161,236
1459359553.093135,30.03.16,10:39:13.093,Fore,100,100,119,200
1459359553.032946,30.03.16,10:39:13.033,Fore,100,100,119,200
1459359552.998768,30.03.16,10:39:12.999,Fore,100,100,119,187
1459359552.757948, 30.03.16,10:39:12.758,Heel, 75,100,78,200
1459359552.699891, 30.03.16,10:39:12.700,Heel, 100,255,213,255
1459359552.666626, 30.03.16,10:39:12.667,Heel, 100,255,213,255
1459359552.139042,30.03.16,10:39:12.139,Fore,100,101,114,196
1459359552.098844,30.03.16,10:39:12.099,Fore,100,101,130,196
1459359552.041235,30.03.16,10:39:12.041,Fore,100,101,130,196
1459359551.804241, 30.03.16,10:39:11.804,Heel, 46,0,14,255
1459359551.772435, 30.03.16,10:39:11.772,Heel, 100,0,14,255
1459359551.709805, 30.03.16,10:39:11.710,Heel, 100,0,88,53
1459359551.201132,30.03.16,10:39:11.201,Fore,100,100,120,196
1459359551.171013,30.03.16,10:39:11.171,Fore,100,100,120,196
1459359551.082521,30.03.16,10:39:11.083,Fore,100,100,120,188
1459359550.810126, 30.03.16,10:39:10.810,Heel, 100,0,63,0
1459359550.750778, 30.03.16,10:39:10.751,Heel, 100,0,63,0
1459359550.241044,30.03.16,10:39:10.241,Fore,100,99,115,198
1459359550.182109,30.03.16,10:39:10.182,Fore,100,99,139,186
1459359550.150278,30.03.16,10:39:10.150,Fore,100,99,139,186
1459359549.886676, 30.03.16,10:39:09.887,Heel, 65,0,1,255
1459359549.856397, 30.03.16,10:39:09.856,Heel, 100,0,1,255
1459359549.820705, 30.03.16,10:39:09.821,Heel, 100,0,120,125
1459359549.280918,30.03.16,10:39:09.281,Fore,100,99,110,188
1459359549.226072,30.03.16,10:39:09.226,Fore,100,99,110,188
1459359549.192386,30.03.16,10:39:09.192,Fore,100,99,129,188
1459359548.919829, 30.03.16,10:39:08.920,Heel, 97,255,144,252
1459359548.858842, 30.03.16,10:39:08.859,Heel, 100,255,144,252
1459359548.799374, 30.03.16,10:39:08.799,Heel, 100,0,167,252
1459359548.350061,30.03.16,10:39:08.350,Fore,54,102,128,204
1459359548.291355,30.03.16,10:39:08.291,Fore,100,102,128,196
1459359548.230870,30.03.16,10:39:08.231,Fore,100,102,128,196
1459359548.197140,30.03.16,10:39:08.197,Fore,100,102,139,190
1459359547.933951, 30.03.16,10:39:07.934,Heel, 19,57,1,196
