Timestamp,Date,Time,Type, Pressure,FrontAngle,SideAngle,UpAngle
1459359566.802172,30.03.16,10:39:26.802,Fore,41,105,130,196

1459359566.526190, 30.03.16,10:39:26.526,Heel, 44,93,130,197

1459359566.408496, 30.03.16,10:39:26.408,Heel, 70,24,171,214

1459359565.841371,30.03.16,10:39:25.841,Fore,100,111,137,203

1459359565.752796,30.03.16,10:39:25.753,Fore,100,102,137,186

1459359565.476807, 30.03.16,10:39:25.477,Heel, 57,48,180,232

1459359565.332709, 30.03.16,10:39:25.333,Heel, 81,0,101,0

1459359564.790735,30.03.16,10:39:24.791,Fore,100,104,118,193

1459359564.640968,30.03.16,10:39:24.641,Fore,46,104,128,193

1459359564.409635, 30.03.16,10:39:24.410,Heel, 56,67,256,217

1459359564.322106, 30.03.16,10:39:24.322,Heel, 100,0,156,30

1459359563.740558,30.03.16,10:39:23.741,Fore,100,107,130,205

1459359563.650704,30.03.16,10:39:23.651,Fore,100,107,130,194

1459359563.375344, 30.03.16,10:39:23.375,Heel, 55,107,131,194

1459359563.223455, 30.03.16,10:39:23.223,Heel, 39,0,175,225

1459359562.782776,30.03.16,10:39:22.783,Fore,18,107,115,206

1459359562.652163,30.03.16,10:39:22.652,Fore,12,97,128,185

1459359562.418352, 30.03.16,10:39:22.418,Heel, 93,0,1,255

1459359562.302013, 30.03.16,10:39:22.302,Heel, 100,0,98,86

1459359561.791281,30.03.16,10:39:21.791,Fore,100,105,121,195

1459359561.640945,30.03.16,10:39:21.641,Fore,53,94,121,183

1459359561.404735, 30.03.16,10:39:21.405,Heel, 100,216,256,255

1459359561.289573, 30.03.16,10:39:21.290,Heel, 97,0,178,248

1459359560.857018,30.03.16,10:39:20.857,Fore,100,101,112,197

1459359560.705879,30.03.16,10:39:20.706,Fore,84,101,128,190

1459359560.468437, 30.03.16,10:39:20.468,Heel, 85,11,202,253

1459359560.377150, 30.03.16,10:39:20.377,Heel, 100,0,256,128

1459359559.841784,30.03.16,10:39:19.842,Fore,100,98,122,200

1459359559.690668,30.03.16,10:39:19.691,Fore,28,98,128,190

1459359559.486402, 30.03.16,10:39:19.486,Heel, 8,53,102,42

1459359559.395152, 30.03.16,10:39:19.395,Heel, 100,0,89,42

1459359558.908255,30.03.16,10:39:18.908,Fore,100,107,147,224

1459359558.756437,30.03.16,10:39:18.756,Fore,67,101,122,188

1459359558.518100, 30.03.16,10:39:18.518,Heel, 100,0,148,204

1459359558.401178, 30.03.16,10:39:18.401,Heel, 100,0,55,15

1459359557.890912,30.03.16,10:39:17.891,Fore,100,105,105,200

1459359557.798907,30.03.16,10:39:17.799,Fore,100,105,128,190

1459359557.544566, 30.03.16,10:39:17.545,Heel, 44,41,1,201

1459359557.474609, 30.03.16,10:39:17.475,Heel, 100,0,154,14

1459359556.955480,30.03.16,10:39:16.955,Fore,100,106,134,204

1459359556.800974,30.03.16,10:39:16.801,Fore,47,99,126,186

1459359556.568359, 30.03.16,10:39:16.568,Heel, 100,255,126,226

1459359556.477613, 30.03.16,10:39:16.478,Heel, 100,0,191,226

1459359555.979274,30.03.16,10:39:15.979,Fore,100,106,121,209

