Timestamp,Date,Time,Type, Pressure,FrontAngle,SideAngle,UpAngle
1459356145.978126,30.03.16,09:42:25.978,Fore,55,109,128,245

1459356145.862969, 30.03.16,09:42:25.863,Heel, 91,48,163,217

1459356145.855143, 30.03.16,09:42:25.855,Heel, 75,48,163,217

1459356145.385472,30.03.16,09:42:25.385,Fore,74,107,128,209

1459356145.286330,30.03.16,09:42:25.286,Fore,28,107,128,209

1459356145.170874, 30.03.16,09:42:25.171,Heel, 34,0,104,218

1459356145.138193, 30.03.16,09:42:25.138,Heel, 77,0,104,218

1459356144.658175,30.03.16,09:42:24.658,Fore,12,132,1,215

1459356144.599937,30.03.16,09:42:24.600,Fore,27,132,1,215

1459356144.469717, 30.03.16,09:42:24.470,Heel, 69,132,102,71

1459356144.421735, 30.03.16,09:42:24.422,Heel, 40,132,102,71

1459356143.947218,30.03.16,09:42:23.947,Fore,51,129,80,239

1459356143.817744,30.03.16,09:42:23.818,Fore,28,129,80,216

1459356143.750056, 30.03.16,09:42:23.750,Heel, 63,0,152,232

1459356143.702725, 30.03.16,09:42:23.703,Heel, 89,0,152,232

1459356143.217626,30.03.16,09:42:23.218,Fore,48,118,108,232

1459356143.135427,30.03.16,09:42:23.135,Fore,64,68,132,196

1459356143.015066, 30.03.16,09:42:23.015,Heel, 100,68,132,196

1459356142.995122, 30.03.16,09:42:22.995,Heel, 81,68,132,196

1459356142.491061,30.03.16,09:42:22.491,Fore,38,108,132,216

1459356142.406185,30.03.16,09:42:22.406,Fore,29,108,132,216

1459356142.288020, 30.03.16,09:42:22.288,Heel, 66,255,256,216

1459356142.267471, 30.03.16,09:42:22.267,Heel, 21,49,162,255

1459356141.776228,30.03.16,09:42:21.776,Fore,32,115,161,182

1459356141.667396,30.03.16,09:42:21.667,Fore,26,0,70,182

1459356141.586295, 30.03.16,09:42:21.586,Heel, 90,0,70,182

1459356141.560245, 30.03.16,09:42:21.560,Heel, 39,0,70,182

1459356141.093120,30.03.16,09:42:21.093,Fore,9,0,224,255

1459356140.973265,30.03.16,09:42:20.973,Fore,37,0,224,255

1459356140.870978, 30.03.16,09:42:20.871,Heel, 8,0,69,46

1459356140.848340, 30.03.16,09:42:20.848,Heel, 41,0,69,46

1459356140.349262,30.03.16,09:42:20.349,Fore,8,106,130,235

1459356140.255559,30.03.16,09:42:20.256,Fore,53,0,127,235

1459356140.185069, 30.03.16,09:42:20.185,Heel, 98,0,127,235

1459356140.158171, 30.03.16,09:42:20.158,Heel, 100,0,127,235

1459356139.636450,30.03.16,09:42:19.636,Fore,60,120,127,235

1459356139.529581,30.03.16,09:42:19.530,Fore,37,0,91,68

1459356139.466213, 30.03.16,09:42:19.466,Heel, 7,0,91,68

1459356139.401889, 30.03.16,09:42:19.402,Heel, 32,0,91,68

1459356138.938208,30.03.16,09:42:18.938,Fore,16,0,216,255

1459356138.839018,30.03.16,09:42:18.839,Fore,31,0,216,255

1459356138.749792, 30.03.16,09:42:18.750,Heel, 100,0,80,69

1459356138.722983, 30.03.16,09:42:18.723,Heel, 72,0,80,69

1459356138.237291,30.03.16,09:42:18.237,Fore,42,124,116,255

1459356138.127131,30.03.16,09:42:18.127,Fore,8,153,121,255

1459356138.050196, 30.03.16,09:42:18.050,Heel, 100,4,119,255

1459356138.022164, 30.03.16,09:42:18.022,Heel, 100,4,119,255

1459356137.515266,30.03.16,09:42:17.515,Fore,39,129,114,244

1459356137.466285,30.03.16,09:42:17.466,Fore,67,0,80,198

1459356137.361915, 30.03.16,09:42:17.362,Heel, 83,0,80,198

1459356137.335384, 30.03.16,09:42:17.335,Heel, 50,0,80,198

1459356136.829924,30.03.16,09:42:16.830,Fore,75,116,137,237

1459356136.748960,30.03.16,09:42:16.749,Fore,34,6,256,237

1459356136.647415, 30.03.16,09:42:16.647,Heel, 70,61,111,201

1459356136.621635, 30.03.16,09:42:16.622,Heel, 34,61,111,201

1459356136.131777,30.03.16,09:42:16.132,Fore,10,105,86,207

1459356135.380292,30.03.16,09:42:15.380,Fore,49,156,256,191

1459356135.305629, 30.03.16,09:42:15.306,Heel, 18,156,256,191

1459356135.264804, 30.03.16,09:42:15.265,Heel, 100,156,256,191

1459356134.778822,30.03.16,09:42:14.779,Fore,48,88,65,136

1459356134.701847,30.03.16,09:42:14.702,Fore,47,88,65,136

1459356134.601601, 30.03.16,09:42:14.602,Heel, 74,252,256,136

1459356134.574338, 30.03.16,09:42:14.574,Heel, 100,252,256,136

1459356134.096776,30.03.16,09:42:14.097,Fore,44,124,142,187

1459356134.002611,30.03.16,09:42:14.003,Fore,49,94,104,187

1459356133.887497, 30.03.16,09:42:13.887,Heel, 100,0,90,232

1459356133.859647, 30.03.16,09:42:13.860,Heel, 73,0,90,232

1459356133.380923,30.03.16,09:42:13.381,Fore,35,117,144,216

1459356133.310570,30.03.16,09:42:13.311,Fore,33,255,256,216

1459356133.205652, 30.03.16,09:42:13.206,Heel, 3,255,256,216

1459356133.162649, 30.03.16,09:42:13.163,Heel, 37,0,85,216

1459356132.678554,30.03.16,09:42:12.679,Fore,47,101,112,255

1459356131.188896,30.03.16,09:42:11.189,Fore,67,64,99,110

1459356131.080968, 30.03.16,09:42:11.081,Heel, 75,64,99,110

1459356131.030074, 30.03.16,09:42:11.030,Heel, 92,0,132,110

1459356130.522899,30.03.16,09:42:10.523,Fore,57,107,105,207

