Timestamp,Date,Time,ForefeetPressure,FrontAngle,SideAngle,UpAngle,Cadence,Speed,Lat,Lon
1457711041.966547,11.03.16,07:44:01.967,100,0,256,197, 1, 0, 38, -122
1457711042.055815,11.03.16,07:44:02.056,32,78,153,212, 2, 0, 38, -122
1457711042.143667,11.03.16,07:44:02.144,0,0,116,122, 2, 0, 38, -122
1457711042.277733,11.03.16,07:44:02.278,0,0,220,250, 2, 0, 38, -122
1457711042.349659,11.03.16,07:44:02.350,0,0,184,236, 2, 0, 38, -122
1457711042.427686,11.03.16,07:44:02.428,0,72,246,160, 2, 0, 38, -122
1457711042.547639,11.03.16,07:44:02.548,0,72,246,130, 2, 0, 38, -122
1457711042.637164,11.03.16,07:44:02.637,100,0,147,130, 3, 0, 38, -122
1457711042.727390,11.03.16,07:44:02.727,100,0,256,0, 4, 0, 38, -122
1457711042.847913,11.03.16,07:44:02.848,0,96,135,171, 4, 0, 38, -122
1457711042.942312,11.03.16,07:44:02.942,0,136,151,238, 4, 0, 38, -122
1457711043.029351,11.03.16,07:44:03.029,0,0,77,136, 4, 0, 38, -122
1457711043.147769,11.03.16,07:44:03.148,0,50,214,255, 4, 0, 38, -122
1457711043.237733,11.03.16,07:44:03.238,0,173,256,179, 4, 0, 38, -122
1457711043.357296,11.03.16,07:44:03.357,100,0,170,196, 5, 0, 38, -122
1457711043.477471,11.03.16,07:44:03.477,100,0,101,0, 6, 0, 38, -122
1457711043.627472,11.03.16,07:44:03.627,0,103,78,238, 6, 0, 38, -122
1457711043.665473,11.03.16,07:44:03.665,0,130,118,238, 6, 0, 38, -122
1457711043.746317,11.03.16,07:44:03.746,0,0,220,238, 6, 0, 38, -122
1457711043.866593,11.03.16,07:44:03.867,0,28,212,255, 6, 0, 38, -122
1457711043.955899,11.03.16,07:44:03.956,0,208,234,208, 6, 0, 38, -122
1457711044.048608,11.03.16,07:44:04.049,100,49,209,226, 7, 0, 38, -122
1457711044.135796,11.03.16,07:44:04.136,100,0,78,0, 8, 0, 38, -122
1457711044.257153,11.03.16,07:44:04.257,53,115,154,223, 9, 0, 38, -122
1457711044.353699,11.03.16,07:44:04.354,0,90,154,235, 9, 0, 38, -122
1457711044.437403,11.03.16,07:44:04.437,0,0,255,144, 9, 0, 38, -122
1457711044.588477,11.03.16,07:44:04.588,0,9,182,255, 9, 0, 38, -122
1457711044.652009,11.03.16,07:44:04.652,0,223,252,205, 9, 0, 38, -122
1457711044.737409,11.03.16,07:44:04.737,0,63,192,192, 9, 0, 38, -122
1457711044.857713,11.03.16,07:44:04.858,100,0,238,11, 10, 0, 38, -122
1457711044.947843,11.03.16,07:44:04.948,100,86,191,207, 11, 0, 38, -122
1457711045.036169,11.03.16,07:44:05.036,0,76,133,207, 11, 0, 38, -122
1457711045.187511,11.03.16,07:44:05.188,0,0,160,128, 11, 0, 38, -122
1457711045.251715,11.03.16,07:44:05.252,0,0,229,248, 11, 0, 38, -122
1457711045.337389,11.03.16,07:44:05.337,0,171,185,226, 11, 0, 38, -122
1457711045.457176,11.03.16,07:44:05.457,0,77,245,177, 11, 0, 38, -122
1457711045.552893,11.03.16,07:44:05.553,100,0,157,121, 12, 0, 38, -122
1457711045.638635,11.03.16,07:44:05.639,100,0,29,0, 13, 0, 38, -122
1457711045.757357,11.03.16,07:44:05.757,0,73,180,179, 13, 0, 38, -122
1457711045.847472,11.03.16,07:44:05.847,0,106,134,179, 13, 0, 38, -122
1457711045.935807,11.03.16,07:44:05.936,0,0,244,200, 13, 0, 38, -122
1457711046.057368,11.03.16,07:44:06.057,0,97,231,255, 13, 0, 38, -122
1457711046.147545,11.03.16,07:44:06.148,0,131,239,192, 13, 0, 38, -122
1457711046.266893,11.03.16,07:44:06.267,100,0,183,192, 14, 0, 38, -122
1457711046.387508,11.03.16,07:44:06.388,100,30,2,0, 15, 0, 38, -122
1457711046.455665,11.03.16,07:44:06.456,0,71,143,207, 15, 0, 38, -122
1457711046.537335,11.03.16,07:44:06.537,0,134,143,223, 15, 0, 38, -122
1457711046.657268,11.03.16,07:44:06.657,0,0,237,201, 15, 0, 38, -122
1457711046.747847,11.03.16,07:44:06.748,0,126,250,255, 15, 0, 38, -122
1457711046.837740,11.03.16,07:44:06.838,0,126,229,167, 15, 0, 38, -122
1457711046.957422,11.03.16,07:44:06.957,100,0,222,135, 16, 0, 38, -122
1457711047.048190,11.03.16,07:44:07.048,100,22,256,65, 17, 0, 38, -122
1457711047.135774,11.03.16,07:44:07.136,0,93,113,252, 17, 0, 38, -122
1457711047.255548,11.03.16,07:44:07.256,0,114,145,228, 17, 0, 38, -122
1457711047.347345,11.03.16,07:44:07.347,0,0,38,106, 17, 0, 38, -122
1457711047.441800,11.03.16,07:44:07.442,0,23,197,255, 17, 0, 38, -122
1457711047.557352,11.03.16,07:44:07.557,0,167,212,178, 17, 0, 38, -122
1457711047.648167,11.03.16,07:44:07.648,100,64,168,155, 18, 0, 38, -122
1457711047.735660,11.03.16,07:44:07.736,100,0,120,0, 19, 0, 38, -122
1457711047.857326,11.03.16,07:44:07.857,0,137,18,244, 19, 0, 38, -122
1457711047.977609,11.03.16,07:44:07.978,0,116,133,244, 19, 0, 38, -122
1457711048.043419,11.03.16,07:44:08.043,0,0,201,87, 19, 0, 38, -122
1457711048.156815,11.03.16,07:44:08.157,0,22,201,255, 19, 0, 38, -122
1457711048.247485,11.03.16,07:44:08.247,0,230,230,226, 19, 0, 38, -122
1457711048.337372,11.03.16,07:44:08.337,0,53,173,226, 19, 0, 38, -122
1457711048.455739,11.03.16,07:44:08.456,100,0,150,0, 20, 0, 38, -122
1457711048.547543,11.03.16,07:44:08.548,100,67,108,150, 21, 0, 38, -122
